THE | 1,69;
ING | 1,01;
AND | 0,57;
ALL | 0,48;
HIS | 0,48;
WAS | 0,47;
THA | 0,46;
ERE | 0,40;
HER | 0,40;
HAT | 0,38;
NTH | 0,37;
THI | 0,37;
TTH | 0,37;
VER | 0,36;
SLE | 0,34;
EDO | 0,33;
LEY | 0,33;
URS | 0,32;
ETH | 0,32;
LED | 0,31;
TER | 0,31;
RSL | 0,29;
HED | 0,29;
YOU | 0,28;
GHT | 0,28;
SHE | 0,28;
HIN | 0,28;
DUR | 0,28;
EWA | 0,27;
ORE | 0,27;
HES | 0,27;
HEW | 0,26;
EVE | 0,26;
ESS | 0,26;
STH | 0,25;
BLE | 0,25;
OTH | 0,24;
ONT | 0,24;
UMB | 0,24;
OUT | 0,24;
AVE | 0,24;
DTH | 0,24;
IGH | 0,24;
OUL | 0,24;
AST | 0,24;
HEC | 0,23;
ULD | 0,23;
TIN | 0,22;
EAR | 0,21;
INT | 0,21;
DNT | 0,21;
HAD | 0,21;
TTE | 0,21;
MBL | 0,21;
PRO | 0,20;
EDI | 0,20;
ENT | 0,20;
ROF | 0,20;
GON | 0,20;
SSO | 0,20;
HAV | 0,20;
IVE | 0,20;
DOR | 0,19;
UND | 0,19;
EDA | 0,19;
DUM | 0,19;
EDT | 0,19;
REA | 0,19;
ORM | 0,18;
NGT | 0,18;
FOR | 0,18;
NOW | 0,18;
HEM | 0,18;
KED | 0,18;
HEY | 0,18;
OME | 0,17;
SOR | 0,17;
ONA | 0,17;
ERS | 0,17;
AID | 0,17;
SAI | 0,16;
COU | 0,16;
OUN | 0,16;
HEN | 0,16;
EDH | 0,16;
NOT | 0,16;
DID | 0,16;
EEN | 0,16;
HIM | 0,16;
EHE | 0,16;
BUT | 0,16;
FES | 0,16;
RDU | 0,16;
STA | 0,16;
HAR | 0,16;
OFE | 0,15;
GAL | 0,15;
ETO | 0,15;
EST | 0,15;
SEE | 0,15;
EHA | 0,15;
HOU | 0,15;
NDT | 0,15;
DHE | 0,15;
TOT | 0,15;
OTT | 0,15;
AGA | 0,15;
NTO | 0,15;
WER | 0,15;
TWA | 0,15;
STR | 0,15;
ATH | 0,14;
RMC | 0,14;
ITH | 0,14;
ATT | 0,14;
OVE | 0,14;
ECA | 0,14;
MRD | 0,14;
NGH | 0,14;
NGA | 0,14;
DIN | 0,14;
MCG | 0,14;
STE | 0,14;
ASS | 0,14;
ERY | 0,14;
HEA | 0,14;
ARE | 0,14;
DTO | 0,13;
ECO | 0,13;
OOK | 0,13;
RED | 0,13;
HEP | 0,13;
IDN | 0,13;
CGO | 0,13;
NAG | 0,13;
KNO | 0,13;
ARR | 0,13;
VEN | 0,13;
YTH | 0,13;
RRY | 0,13;
RET | 0,13;
OUS | 0,13;
SDU | 0,13;
NGS | 0,13;
ILL | 0,13;
PLE | 0,13;
ELL | 0,13;
SOM | 0,12;
POT | 0,12;
YIN | 0,12;
UGH | 0,12;
EET | 0,12;
DBE | 0,12;
FTH | 0,12;
UTT | 0,12;
RIV | 0,12;
KIN | 0,12;
DHA | 0,12;
ERA | 0,12;
OFT | 0,12;
SHA | 0,12;
EAS | 0,12;
EIN | 0,12;
MET | 0,12;
CAT | 0,12;
ONE | 0,12;
HEL | 0,12;
THO | 0,12;
TAN | 0,12;
ESA | 0,12;
SHO | 0,12;
OUG | 0,12;
BEE | 0,12;
ITW | 0,12;
NIN | 0,12;
OLD | 0,12;
WHE | 0,12;
EAD | 0,12;
ASH | 0,12;
EOP | 0,11;
TRE | 0,11;
AME | 0,11;
EAN | 0,11;
REE | 0,11;
PEO | 0,11;
OUR | 0,11;
YES | 0,11;
DOW | 0,11;
MRS | 0,11;
ITT | 0,11;
ARD | 0,11;
TOF | 0,11;
LOO | 0,11;
RSD | 0,11;
ATS | 0,11;
SON | 0,11;
EDU | 0,11;
EIT | 0,11;
ACK | 0,11;
OPL | 0,11;
LLS | 0,10;
ERH | 0,10;
LTH | 0,10;
STO | 0,10;
HET | 0,10;
WIT | 0,10;
NDH | 0,10;
DAY | 0,10;
REW | 0,10;
SPE | 0,10;
ERT | 0,10;
RES | 0,10;
SNO | 0,10;
LET | 0,10;
CLO | 0,10;
ITS | 0,10;
DHI | 0,10;
DRI | 0,10;
OWN | 0,10;
ENE | 0,10;
DAN | 0,10;
UST | 0,10;
AGR | 0,10;
TED | 0,09;
INK | 0,09;
EBE | 0,09;
TAL | 0,09;
RAN | 0,09;
TOH | 0,09;
IND | 0,09;
EWH | 0,09;
ESI | 0,09;
ROU | 0,09;
OKE | 0,09;
MAN | 0,09;
ORS | 0,09;
EYW | 0,09;
EPO | 0,09;
HOW | 0,09;
GRI | 0,09;
NTI | 0,09;
CKE | 0,09;
RIN | 0,09;
SIN | 0,09;
ERI | 0,09;
EMO | 0,09;
SWE | 0,09;
ELE | 0,09;
WHI | 0,09;
SAY | 0,09;
INA | 0,09;
EWE | 0,09;
EFO | 0,09;
ETT | 0,09;
LAS | 0,09;
DLE | 0,09;
LDN | 0,09;
PIN | 0,09;
RNE | 0,09;
WHA | 0,09;
GTO | 0,09;
TAR | 0,09;
ISH | 0,09;
OWL | 0,09;
EDB | 0,09;
IST | 0,09;
ATI | 0,08;
ABO | 0,08;
DMR | 0,08;
PER | 0,08;
EYS | 0,08;
DPR | 0,08;
BAC | 0,08;
RTH | 0,08;
NDI | 0,08;
OWI | 0,08;
NGE | 0,08;
LES | 0,08;
NED | 0,08;
TOB | 0,08;
SSE | 0,08;
DON | 0,08;
EAL | 0,08;
LLT | 0,08;
PED | 0,08;
MOR | 0,08;
ICE | 0,08;
TON | 0,08;
PPE | 0,08;
EYO | 0,08;
DIT | 0,08;
DER | 0,08;
WOU | 0,08;
SSH | 0,08;
GIN | 0,08;
TLE | 0,08;
RID | 0,08;
HAG | 0,08;
OND | 0,08;
ICK | 0,08;
SED | 0,08;
KET | 0,08;
NTS | 0,08;
USE | 0,08;
WEL | 0,08;
LLY | 0,08;
WAL | 0,08;
ECT | 0,08;
OBE | 0,08;
RAT | 0,08;
LLA | 0,08;
ANY | 0,08;
DDU | 0,08;
RHE | 0,08;
OSE | 0,08;
SST | 0,08;
MIN | 0,08;
ORT | 0,08;
ANT | 0,08;
BOU | 0,08;
NDS | 0,08;
VEB | 0,08;
GTH | 0,08;
REH | 0,08;
WHO | 0,08;
SAN | 0,08;
ENO | 0,08;
NHI | 0,07;
UNT | 0,07;
EOF | 0,07;
EAT | 0,07;
NGI | 0,07;
EMA | 0,07;
ASA | 0,07;
ERO | 0,07;
EYE | 0,07;
OTI | 0,07;
OWE | 0,07;
BEA | 0,07;
HAN | 0,07;
ENA | 0,07;
TTO | 0,07;
ATW | 0,07;
ORN | 0,07;
EDS | 0,07;
NDE | 0,07;
IDE | 0,07;
VET | 0,07;
HEH | 0,07;
NDO | 0,07;
WIN | 0,07;
HEI | 0,07;
RSO | 0,07;
ASN | 0,07;
APP | 0,07;
LLE | 0,07;
ATA | 0,07;
MAL | 0,07;
DAS | 0,07;
CAN | 0,07;
TSE | 0,07;
LYA | 0,07;
TCH | 0,07;
EHI | 0,07;
INS | 0,07;
UTO | 0,07;
LLH | 0,07;
NOR | 0,07;
ATE | 0,07;
LOA | 0,07;
OAK | 0,07;
TBE | 0,07;
ARO | 0,07;
NHE | 0,07;
SOF | 0,07;
LDE | 0,07;
ETA | 0,07;
REL | 0,07;
HEF | 0,07;
